Run,Seed,Affinity
1,74592097,-7.5
2,86011827,-7.5
3,99733056,-7.6
4,34416597,-7.5
5,4726585,-7.6
6,56774102,-7.5
7,47049589,-7.6
8,81490096,-7.6
9,6116171,-7.6
10,83085276,-7.5
11,39261263,-7.6
12,36001562,-7.6
13,18700074,-7.6
14,10591969,-7.5
15,58758097,-7.5
16,17584653,-7.5
17,89451229,-7.6
18,85090635,-7.5
19,86950113,-7.5
20,54865350,-7.5
21,99152473,-7.5
22,10387647,-7.5
23,28948627,-7.5
24,36616066,-7.6
25,48766770,-7.6
26,21013822,-7.6
27,85933005,-7.6
28,23079497,-7.6
29,41998573,-7.5
30,63013351,-7.5
31,52188493,-7.6
32,71169088,-7.6
33,30308805,-7.5
34,73196019,-7.5
35,74415289,-7.5
36,25753689,-7.5
37,43664673,-7.5
38,64818083,-7.6
39,35537381,-7.5
40,47018461,-7.6
41,71735891,-7.5
42,31165816,-7.6
43,65636924,-7.5
44,92275287,-7.5
45,76866196,-7.5
46,27730358,-7.5
47,23918810,-7.5
48,19829029,-7.5
49,750047,-7.6
50,62949608,-7.5
51,28789852,-7.6
52,8348007,-7.6
53,85204730,-7.5
54,29968428,-7.5
55,97224771,-7.6
56,35863439,-7.5
57,13163827,-7.6
58,64842993,-7.5
59,98046269,-7.6
60,47151453,-7.5
61,5573039,-7.5
62,77764530,-7.5
63,72348808,-7.5
64,43662492,-7.5
65,16229830,-7.5
66,83537247,-7.6
67,63215313,-7.6
68,85371063,-7.5
69,11553570,-7.5
70,58564875,-7.5
71,31723086,-7.5
72,74671831,-7.5
73,17866183,-7.5
74,27464003,-7.6
75,42565417,-7.5
76,55487774,-7.5
77,38780951,-7.6
78,96820611,-7.5
79,84905325,-7.5
80,11296298,-7.6
81,53295143,-7.6
82,87190013,-7.5
83,79668143,-7.6
84,21630691,-7.6
85,96308761,-7.5
86,29080461,-7.6
87,73911230,-7.6
88,29051637,-7.5
89,69573074,-7.5
90,39408338,-7.6
91,32760474,-7.5
92,10262741,-7.5
93,7876762,-7.5
94,86120524,-7.6
95,11272141,-7.5
96,41444171,-7.5
97,59259858,-7.5
98,89379787,-7.5
99,2626586,-7.6
100,9197976,-7.6
