Run,Seed,Affinity
1,517069,-7.2
2,23785626,-7.3
3,65157007,-7.0
4,92712205,-7.2
5,75467668,-7.2
6,1010427,-7.4
7,88007817,-6.7
8,27511817,-7.1
9,11774139,-7.5
10,86319685,-7.3
11,78542852,-6.6
12,75343200,-7.0
13,93337477,-7.3
14,74538009,-6.9
15,69505402,-7.4
16,33080739,-7.1
17,75458866,-7.2
18,97173189,-7.0
19,50408188,-7.3
20,79903097,-6.9
21,38274044,-6.9
22,71095082,-6.9
23,38712622,-7.2
24,83816024,-7.2
25,72626258,-7.2
26,41596321,-7.5
27,65539243,-7.1
28,45450756,-7.1
29,42848697,-7.3
30,32924742,-7.4
31,68642271,-6.7
32,27539954,-7.1
33,2898024,-7.0
34,40051458,-7.3
35,91227743,-6.8
36,79730126,-7.1
37,49193765,-6.9
38,16792628,-7.1
39,50749684,-7.3
40,47551323,-7.1
41,55763487,-7.1
42,56795514,-7.2
43,87409525,-7.4
44,146102,-6.6
45,54796302,-7.1
46,24950344,-7.1
47,58698387,-7.5
48,8329536,-7.7
49,18335827,-7.2
50,90466373,-6.8
51,68952909,-7.1
52,56381829,-7.0
53,53004224,-6.9
54,56145388,-6.9
55,64798318,-7.3
56,21775474,-7.3
57,9792692,-6.4
58,41478792,-7.1
59,93764297,-6.9
60,46021873,-7.4
61,16039325,-6.6
62,52351066,-7.0
63,69432289,-7.3
64,99750198,-5.9
65,72897960,-7.2
66,11306686,-7.1
67,13723214,-7.2
68,84265360,-7.3
69,4834352,-7.4
70,40925926,-6.6
71,78359067,-7.2
72,5400338,-7.5
73,24493826,-7.3
74,71547624,-7.1
75,1668642,-7.1
76,94637020,-7.3
77,53340051,-7.1
78,49578653,-6.5
79,50929491,-7.0
80,82385329,-6.7
81,91267598,-7.0
82,79094769,-7.5
83,50445666,-7.3
84,73452416,-7.2
85,14436726,-7.0
86,64305561,-7.1
87,80512006,-7.1
88,69936646,-7.2
89,93580165,-7.2
90,97721919,-7.4
91,10898380,-7.1
92,91577564,-7.4
93,50660449,-6.7
94,75280256,-7.3
95,13920235,-7.1
96,68013078,-7.2
97,61470935,-7.2
98,10112470,-7.1
99,49598764,-7.3
100,96013272,-7.2
