Run,Seed,Affinity
1,31122219,-6.6
2,77103813,-6.9
3,69816621,-7.0
4,32096160,-6.6
5,41024767,-6.9
6,1685942,-6.7
7,44309702,-6.2
8,18694037,-6.8
9,73455962,-7.0
10,21337450,-6.9
11,34775867,-7.0
12,53913879,-6.6
13,58582387,-7.1
14,44806233,-6.7
15,81330895,-6.6
16,87278354,-6.6
17,35686322,-6.9
18,15154639,-6.8
19,30987645,-6.8
20,33912920,-6.8
21,28496906,-7.0
22,77219565,-6.9
23,49979006,-6.8
24,72603244,-6.9
25,48314308,-7.0
26,34371211,-7.0
27,4175574,-6.6
28,28616828,-6.8
29,8156717,-6.7
30,81001695,-6.9
31,11103846,-6.9
32,14397619,-6.9
33,45862942,-6.9
34,41482142,-7.0
35,48261501,-6.6
36,62561911,-6.7
37,11545761,-7.0
38,25626518,-6.8
39,31990787,-7.0
40,35144589,-6.9
41,13004683,-7.0
42,67986372,-6.9
43,86297794,-6.7
44,97113029,-7.0
45,2625214,-6.8
46,45713678,-7.0
47,71542795,-7.0
48,70974326,-6.9
49,15218544,-6.9
50,27249592,-6.7
51,55976108,-6.9
52,86818331,-6.7
53,48651994,-6.4
54,10050414,-6.5
55,58419193,-6.9
56,32129369,-6.9
57,75858907,-6.9
58,38223081,-6.7
59,88635563,-6.7
60,42743750,-6.7
61,86532056,-6.6
62,47378734,-6.2
63,86010573,-6.1
64,46223420,-6.6
65,73348746,-6.5
66,94308998,-6.8
67,72114896,-5.5
68,97435374,-6.9
69,52950375,-6.9
70,70294672,-6.5
71,91196366,-6.0
72,24409650,-6.7
73,61585471,-7.1
74,67108823,-6.9
75,4885978,-6.6
76,26081827,-6.9
77,96198450,-6.8
78,31033523,-6.9
79,7690256,-6.6
80,90555843,-6.9
81,98646713,-6.3
82,79496753,-6.8
83,45190552,-7.1
84,89108102,-6.7
85,16462715,-6.7
86,49122436,-6.5
87,77302077,-6.8
88,81724616,-6.7
89,6480705,-6.9
90,35497765,-6.9
91,60990643,-7.0
92,60394737,-6.6
93,84269540,-6.9
94,86743073,-6.7
95,63779606,-6.6
96,83211525,-6.9
97,3803298,-6.9
98,97748208,-6.5
99,88928564,-6.5
100,86304612,-6.9
