Run,Seed,Affinity
1,95331344,-6.9
2,28440579,-7.1
3,27887096,-7.0
4,370036,-6.3
5,13658727,-6.5
6,48226577,-7.0
7,36987795,-6.9
8,16055521,-7.1
9,4399451,-7.0
10,15610165,-6.8
11,24984449,-6.6
12,96060795,-7.0
13,34102140,-7.0
14,38064166,-6.9
15,76842165,-6.8
16,61557284,-6.2
17,12370113,-6.9
18,28606336,-6.8
19,63238662,-7.0
20,63624049,-7.1
21,53290163,-6.9
22,43141878,-6.9
23,33270291,-6.2
24,80298423,-7.0
25,75612762,-7.0
26,79980241,-6.7
27,20964880,-6.2
28,55568979,-6.6
29,79247313,-6.9
30,60702286,-7.0
31,7645192,-7.0
32,15137043,-7.0
33,53156173,-6.9
34,16442377,-6.9
35,74450865,-7.1
36,5622506,-5.0
37,29655200,-6.8
38,84142707,-7.0
39,48673990,-6.8
40,92415954,-6.2
41,93922978,-6.9
42,43012156,-7.1
43,35953271,-6.9
44,60910868,-7.1
45,50631619,-7.0
46,5698674,-6.9
47,33194619,-7.0
48,38920503,-7.1
49,8706481,-6.9
50,29484638,-6.7
51,15683585,-6.9
52,25326709,-6.4
53,69675886,-6.6
54,83796174,-6.4
55,56257832,-6.6
56,22367953,-7.0
57,53868048,-7.1
58,16378912,-7.0
59,67593232,-6.1
60,28412298,-6.3
61,18558566,-6.9
62,63503304,-7.1
63,80651588,-6.9
64,64974230,-6.6
65,89622988,-6.6
66,38896861,-7.0
67,22946479,-7.1
68,43672342,-7.0
69,67806925,-7.1
70,15977604,-6.0
71,93582921,-6.7
72,16787568,-6.9
73,51070800,-6.1
74,64774690,-6.2
75,3580450,-6.8
76,21512970,-7.0
77,57554018,-6.9
78,32534209,-6.8
79,28777485,-7.0
80,62885955,-6.9
81,2372295,-6.9
82,37802097,-7.0
83,68836518,-6.7
84,48280062,-5.0
85,19129252,-7.0
86,13004493,-6.9
87,76840961,-6.3
88,6957185,-7.1
89,4974330,-7.0
90,28679707,-6.9
91,19414965,-7.0
92,12999408,-7.0
93,90087453,-7.1
94,73014548,-7.0
95,30404757,-6.8
96,98816895,-6.9
97,23060289,-5.5
98,23781288,-6.8
99,92924972,-7.0
100,95387759,-7.1
