Run,Seed,Affinity
1,29505784,-6.6
2,40547139,-6.4
3,37113437,-6.8
4,30614728,-7.0
5,14134590,-6.5
6,74402163,-7.0
7,42927177,-6.4
8,52864144,-6.4
9,73326165,-6.8
10,9231616,-6.4
11,71278837,-6.3
12,45849818,-6.8
13,10840082,-6.6
14,93532176,-6.2
15,18122207,-3.6
16,57922429,-7.1
17,94965051,-6.7
18,80165562,-6.5
19,19234443,-6.5
20,22083598,-7.0
21,15973412,-6.6
22,11980187,-6.6
23,92279749,-6.7
24,72140090,-6.4
25,46016410,-6.6
26,28515305,-6.4
27,70481412,-7.0
28,74807091,-6.1
29,50534539,-4.5
30,65852947,-6.6
31,34112204,-6.7
32,65484726,-4.2
33,2945333,-6.9
34,75134239,-6.4
35,78998721,-6.5
36,83889327,-5.2
37,8267786,-6.4
38,6948977,-6.4
39,25260575,-6.4
40,4277727,-6.3
41,18152327,-6.9
42,88629556,-5.2
43,54046040,-6.4
44,73638340,-7.0
45,86119994,-6.4
46,74407200,-6.4
47,40078649,-6.4
48,27539821,-6.6
49,14190805,-6.5
50,52697792,-6.5
51,61718333,-6.5
52,33666324,-6.4
53,47137520,-6.7
54,98143419,-3.0
55,63624404,-6.4
56,12462342,-6.7
57,12199378,-6.8
58,80885230,-6.8
59,98092264,-6.2
60,15485693,-6.5
61,72988202,-6.6
62,48190370,-6.3
63,89987947,-6.4
64,64490314,-6.9
65,7859483,-6.6
66,97815621,-7.0
67,71216159,-6.5
68,83171264,-6.6
69,98930775,-6.5
70,71886469,-6.5
71,95178273,-6.8
72,60491339,-5.8
73,43782414,-6.6
74,93266350,-6.5
75,64412179,-6.6
76,91300580,-6.8
77,15386214,-6.3
78,81145684,-7.0
79,5971536,-6.6
80,67481387,-6.7
81,11308987,-6.1
82,38229057,-6.2
83,67267765,-6.6
84,62463055,-6.6
85,90102614,-6.4
86,97767955,-6.4
87,17844087,-6.5
88,79073079,-6.3
89,45538049,-6.3
90,12782437,-6.8
91,87217546,-6.6
92,24138571,-6.6
93,38364175,-6.8
94,90566445,-6.3
95,82174885,-6.5
96,22557302,-6.6
97,13590949,-6.6
98,89135286,-7.0
99,78459408,-6.4
100,718543,-6.8
